lat	lng
40.805302	-73.939072
40.796535	-73.949562
40.805378	-73.93985
40.828243	-73.938042
40.798828	-73.953896
40.789253	-73.954918
40.802818	-73.951454
40.813221	-73.937294
40.809471	-73.93792
40.795238	-73.935928
40.823517	-73.937866
40.823162	-73.941582
40.812004	-73.950073
40.797241	-73.94873
40.849537	-73.933624
40.81517	-73.943626
40.80471	-73.939003
40.794239	-73.944962
40.80257	-73.956734
40.855022	-73.929665
40.801102	-73.943985
40.795506	-73.94812
40.80481	-73.938965
40.803196	-73.952599
40.802383	-73.937012
40.815086	-73.939201
40.790714	-73.945404
40.84082	-73.942528
40.790394	-73.947647
40.80674	-73.937996
40.791256	-73.951157
40.806786	-73.946083
40.834332	-73.944557
40.798138	-73.940231
40.802761	-73.956688
40.79298	-73.945824
40.809647	-73.951576
40.805458	-73.94014
40.797935	-73.948441
40.807358	-73.96447
40.794796	-73.936287
40.868797	-73.917732
40.792122	-73.944199
40.839565	-73.937012
40.834888	-73.94429
40.797298	-73.949112
40.795643	-73.932564
40.788963	-73.954208
40.824638	-73.946091
40.789364	-73.954788
40.790333	-73.945618
40.810776	-73.952682
40.830769	-73.941254
40.857567	-73.932014
40.805576	-73.961708
40.809971	-73.951431
40.797432	-73.938667
40.804352	-73.947998
40.790833	-73.953667
40.853798	-73.933968
40.804413	-73.962776
40.790565	-73.953094
40.789276	-73.952492
40.850304	-73.935883
40.834026	-73.944809
40.805	-73.939102
40.80405	-73.951736
40.804588	-73.9552
40.840977	-73.939629
40.860722	-73.930626
40.789742	-73.952347
40.850117	-73.933807
40.8372	-73.942436
40.790771	-73.942375
40.79134	-73.952042
40.812992	-73.937462
40.801949	-73.949821
40.842972	-73.938316
40.832306	-73.94603
40.839779	-73.940903
40.810017	-73.951149
40.83115	-73.946831
40.864666	-73.919235
40.803486	-73.948738
40.786591	-73.950371
40.797726	-73.95134
40.78867	-73.952843
40.804588	-73.966125
40.820103	-73.955238
40.794086	-73.950691
40.79821	-73.939857
40.789501	-73.943344
40.795582	-73.9319
40.814022	-73.94104
40.805962	-73.946663
40.798084	-73.940155
40.864536	-73.929131
40.804901	-73.966385
40.800541	-73.958443
40.790833	-73.95134
40.801884	-73.949348
40.804981	-73.939659
40.803078	-73.963654
40.788048	-73.953522
40.790218	-73.951874
40.804863	-73.966072
40.805096	-73.938972
40.807987	-73.945427
40.794842	-73.942451
40.804043	-73.936691
40.799263	-73.955048
40.793919	-73.949173
40.81398	-73.94104
40.816628	-73.942558
40.802898	-73.940826
40.820869	-73.939468
40.785748	-73.950813
40.821571	-73.95417
40.841366	-73.940712
40.790722	-73.939186
40.804695	-73.937149
40.835365	-73.940308
40.808182	-73.960052
40.804443	-73.937637
40.804512	-73.966667
40.786404	-73.942375
40.8116	-73.946541
40.840809	-73.943069
40.83083	-73.947441
40.804188	-73.93737
40.802181	-73.949669
40.830994	-73.943237
40.789776	-73.95179
40.804298	-73.966675
40.825283	-73.943916
40.805359	-73.961853
40.840389	-73.943001
40.813908	-73.959724
40.807301	-73.944244
