lat	lng
40.825127	-73.939308
40.841057	-73.939934
40.850121	-73.935867
40.815556	-73.939697
40.820637	-73.936691
40.816708	-73.939064
40.821789	-73.94474
40.804241	-73.937515
40.822952	-73.942177
40.816902	-73.957771
40.864452	-73.919083
40.821812	-73.939629
40.82386	-73.944534
40.80825	-73.94532
40.826431	-73.946762
40.798809	-73.945618
40.805191	-73.956741
40.820957	-73.954552
40.808483	-73.963509
40.800922	-73.934944
40.804523	-73.95546
40.831451	-73.946968
40.807549	-73.951012
40.814213	-73.941078
40.789818	-73.952263
40.818913	-73.956078
40.796364	-73.941223
40.802933	-73.963646
40.815331	-73.940094
40.82365	-73.943977
40.81319	-73.956207
40.804371	-73.937141
40.803864	-73.937782
40.829556	-73.936905
40.821312	-73.954529
40.799179	-73.954346
40.840988	-73.940025
40.840977	-73.939949
40.815849	-73.941109
40.815937	-73.954437
40.790157	-73.952011
40.826824	-73.95034
40.795666	-73.948013
40.804203	-73.937508
40.860363	-73.928268
40.802235	-73.949654
40.796177	-73.943436
40.803131	-73.956268
40.824329	-73.949638
40.823689	-73.94413
40.815258	-73.939903
40.79763	-73.946602
40.823883	-73.938171
40.856682	-73.93248
40.847267	-73.938187
40.806793	-73.953743
40.814159	-73.940987
40.803448	-73.935287
40.814903	-73.938744
40.804249	-73.937515
40.798328	-73.952705
40.813534	-73.956055
40.848423	-73.943077
40.799492	-73.953682
40.814445	-73.936485
40.803043	-73.952255
40.789902	-73.952255
40.802818	-73.956589
40.803253	-73.9636
40.829624	-73.94812
40.798737	-73.941803
40.786678	-73.94545
40.823898	-73.952461
40.801632	-73.94873
40.804729	-73.966469
40.827698	-73.949654
40.821133	-73.945984
40.826546	-73.950485
