lat	lng
40.804417	-73.937164
40.789886	-73.952393
40.788033	-73.953934
40.814251	-73.940849
40.805405	-73.939003
40.809223	-73.95945
40.83691	-73.942719
40.798496	-73.941689
40.790848	-73.9515
40.805336	-73.939178
40.803909	-73.963081
40.790649	-73.953812
40.795319	-73.933556
40.787022	-73.953819
40.804966	-73.938942
40.79641	-73.941216
40.82872	-73.948685
40.808697	-73.952225
40.805794	-73.9543
40.841824	-73.940826
40.814243	-73.940636
40.842484	-73.942375
40.80537	-73.93898
40.78775	-73.955933
40.800556	-73.94651
40.811306	-73.938835
40.817871	-73.941666
40.789207	-73.952744
40.854195	-73.930145
40.787838	-73.949326
40.836548	-73.939468
40.820114	-73.955025
40.808922	-73.952049
40.794464	-73.948669
40.819565	-73.944199
40.820278	-73.940269
40.837811	-73.941917
40.840485	-73.94072
40.808975	-73.951675
40.804386	-73.966789
40.83971	-73.940636
40.805305	-73.938934
40.82019	-73.95536
40.789665	-73.954445
40.797306	-73.946762
40.790829	-73.95359
40.804379	-73.955315
40.790646	-73.953751
40.789352	-73.952492
40.814877	-73.940613
40.80545	-73.96199
40.797138	-73.931725
40.865654	-73.926994
40.8675	-73.92115
40.81208	-73.960747
40.805191	-73.939064
40.789375	-73.954704
40.81015	-73.951263
40.848743	-73.939438
40.811604	-73.949783
40.807568	-73.964378
40.791843	-73.944366
40.812084	-73.949905
40.812675	-73.942078
40.821655	-73.950371
40.805191	-73.938934
40.801537	-73.948738
40.791592	-73.944504
40.842484	-73.939171
40.795372	-73.933075
40.827038	-73.949928
40.80801	-73.945343
40.833603	-73.945328
40.815819	-73.94854
40.784954	-73.948647
40.805077	-73.954834
40.804935	-73.937042
40.815338	-73.939873
40.805878	-73.940643
40.801186	-73.93779
40.796902	-73.937622
40.800705	-73.959175
40.785706	-73.948853
40.805153	-73.938957
40.804947	-73.939201
40.816746	-73.946899
40.85754	-73.932281
40.814861	-73.935974
40.791309	-73.943832
40.802792	-73.949142
40.806347	-73.942101
40.7952	-73.936127
40.839733	-73.940765
40.821873	-73.953873
40.833344	-73.94529
40.804302	-73.937233
40.821079	-73.939323
40.791939	-73.938499
40.826244	-73.950447
40.797272	-73.937691
40.808811	-73.948418
40.790787	-73.951447
40.807076	-73.94603
40.823296	-73.949028
40.818558	-73.941071
40.822018	-73.955521
40.793922	-73.94931
