lat	lng
40.804672	-73.955811
40.790627	-73.951729
40.81406	-73.944527
40.796967	-73.93792
40.832832	-73.945847
40.872284	-73.912918
40.804127	-73.937233
40.785397	-73.949265
40.802319	-73.949738
40.839905	-73.941055
40.826149	-73.949997
40.802181	-73.949944
40.804539	-73.937469
40.849503	-73.933678
40.824059	-73.952026
40.790203	-73.952271
40.838387	-73.939758
40.813236	-73.945396
40.790184	-73.952003
40.832737	-73.94603
40.806431	-73.94239
40.804855	-73.962402
40.861977	-73.924988
40.834072	-73.945076
40.82288	-73.941742
40.796951	-73.93763
40.791374	-73.938797
40.804008	-73.9664
40.848957	-73.933945
40.804684	-73.962654
40.84362	-73.939095
40.848869	-73.937355
40.800106	-73.944763
40.826504	-73.950256
40.808228	-73.963898
40.861465	-73.930412
40.820786	-73.954765
40.826244	-73.950432
40.816132	-73.939278
40.804459	-73.966408
40.83419	-73.944756
40.804573	-73.937279
40.804176	-73.955589
40.814613	-73.940376
40.804016	-73.936325
40.861732	-73.924866
40.810108	-73.939636
40.847645	-73.93811
40.826668	-73.95047
40.807484	-73.944992
40.829777	-73.940567
40.803169	-73.963791
