lat	lng
40.791981	-73.941376
40.804108	-73.93689
40.804901	-73.954346
40.800453	-73.945801
40.797974	-73.942085
40.824032	-73.952354
40.824066	-73.944962
40.788837	-73.955276
40.830223	-73.94751
40.819954	-73.940506
40.836189	-73.943283
40.801472	-73.953957
40.821754	-73.939293
40.826622	-73.950699
40.790058	-73.95208
40.837132	-73.942818
40.814499	-73.944199
40.837624	-73.942474
40.828396	-73.937798
40.801502	-73.93132
40.838409	-73.941879
40.791866	-73.946571
40.786098	-73.942665
40.809174	-73.952225
40.805382	-73.9394
40.788815	-73.946754
40.813168	-73.956276
40.790489	-73.947647
40.823719	-73.937744
40.790997	-73.951424
40.790836	-73.94236
40.825893	-73.950882
40.800865	-73.958237
40.793072	-73.940674
40.802128	-73.957008
40.789955	-73.951599
40.840557	-73.936462
40.790466	-73.947662
40.792488	-73.941093
40.79932	-73.951553
40.83654	-73.936928
40.790077	-73.942963
40.7966	-73.949402
40.822609	-73.942177
40.790131	-73.942848
40.822567	-73.947784
40.805119	-73.939064
40.796356	-73.949577
40.831387	-73.946968
40.81144	-73.957779
40.804253	-73.937004
40.838486	-73.941505
40.815235	-73.958832
40.798183	-73.940521
40.85165	-73.935043
40.825886	-73.950981
40.811382	-73.946693
40.814003	-73.941055
40.848419	-73.938408
40.824196	-73.944649
40.815269	-73.940025
40.820267	-73.955421
40.790466	-73.951775
40.811226	-73.942879
40.813599	-73.948654
40.806221	-73.96537
40.819641	-73.936935
40.815273	-73.939751
40.786598	-73.952751
40.823776	-73.95253
40.798458	-73.941772
40.801037	-73.94738
40.811974	-73.951653
40.82177	-73.953812
40.807766	-73.94529
40.802025	-73.949547
40.81168	-73.954659
40.823895	-73.944946
40.802883	-73.933678
40.801945	-73.949394
40.792221	-73.944267
40.813877	-73.940903
40.793865	-73.942879
40.849209	-73.93354
40.818325	-73.956551
40.823166	-73.953018
40.796131	-73.935631
40.826992	-73.947586
40.792046	-73.941437
40.825611	-73.938728
40.811378	-73.96154
40.828934	-73.948547
40.786598	-73.952751
40.790562	-73.951752
40.787022	-73.950226
40.805866	-73.954369
40.828403	-73.949081
40.798771	-73.941818
40.794289	-73.948914
40.824017	-73.937195
40.815109	-73.958588
40.824692	-73.954224
40.791019	-73.951462
40.845428	-73.938499
40.805122	-73.939163
40.813587	-73.93969
40.839424	-73.941124
40.804745	-73.947617
40.804218	-73.937111
40.794659	-73.948631
40.807976	-73.964111
40.812374	-73.938004
40.797379	-73.940346
40.841824	-73.939301
40.830093	-73.947304
40.8256	-73.939636
40.851952	-73.937096
40.804596	-73.961739
40.811153	-73.95047
