lat	lng
40.86272	-73.920189
40.802559	-73.949173
40.799904	-73.954918
40.789791	-73.951874
40.805431	-73.939682
40.820732	-73.956467
40.804821	-73.937103
40.804241	-73.954765
40.818176	-73.960609
40.823254	-73.942848
40.808147	-73.945068
40.805622	-73.9403
40.803776	-73.937897
40.791718	-73.946686
40.793472	-73.94944
40.810383	-73.958405
40.805225	-73.939209
40.821548	-73.939316
40.805264	-73.939171
40.804272	-73.937195
40.823635	-73.941261
40.819408	-73.940567
40.804379	-73.947891
40.859283	-73.931503
40.807358	-73.945679
40.819317	-73.94455
40.81789	-73.938286
40.790092	-73.942924
40.817402	-73.938568
40.810432	-73.94368
40.819153	-73.944687
40.78981	-73.952339
40.804607	-73.937309
40.801994	-73.957191
40.839481	-73.940712
40.805298	-73.955437
40.795601	-73.932182
40.82365	-73.9524
40.814423	-73.955574
40.816551	-73.946571
40.802517	-73.956772
40.805202	-73.962166
40.815697	-73.939781
40.841183	-73.942406
40.806362	-73.953964
40.806385	-73.953888
40.849388	-73.932076
40.798904	-73.941391
40.80286	-73.963654
40.784206	-73.94725
40.805553	-73.961914
40.810741	-73.950829
40.803188	-73.964195
40.796116	-73.935577
40.813847	-73.956604
40.789829	-73.940002
40.804394	-73.937637
40.804928	-73.938644
40.804283	-73.937355
40.801392	-73.948029
40.788021	-73.953835
40.81321	-73.956589
40.790787	-73.953629
40.813961	-73.940948
40.808037	-73.945236
40.864647	-73.92907
40.804996	-73.938705
40.804245	-73.966507
40.813648	-73.959549
40.789284	-73.952614
40.841156	-73.939789
40.802994	-73.952087
40.811054	-73.961731
40.798225	-73.939857
40.841095	-73.940041
40.804379	-73.96637
40.833488	-73.949982
40.822567	-73.949532
40.790241	-73.951935
40.804935	-73.938721
40.789837	-73.952415
40.808685	-73.94754
40.812271	-73.949799
40.789185	-73.942863
40.79911	-73.94265
40.82299	-73.938118
40.807007	-73.947723
40.812729	-73.955742
40.813564	-73.959602
40.803978	-73.936569
40.822002	-73.95388
40.80949	-73.951782
40.804989	-73.966255
40.826488	-73.950302
40.822197	-73.938599
40.808479	-73.938599
40.790588	-73.947502
40.842476	-73.939262
40.806854	-73.946304
40.800461	-73.935532
40.840816	-73.940186
40.806862	-73.960945
40.825623	-73.95089
40.807636	-73.941452
40.802456	-73.949326
40.798027	-73.942146
40.810009	-73.950768
40.810677	-73.952782
40.793625	-73.949524
40.80521	-73.965942
40.805332	-73.949661
40.819145	-73.937332
40.807991	-73.945419
40.840881	-73.939857
40.789303	-73.95475
40.818104	-73.937836
40.809998	-73.951378
40.80521	-73.94149
40.812561	-73.949493
40.790134	-73.952194
40.801643	-73.948784
40.793377	-73.943398
40.787357	-73.94178
40.812668	-73.949425
40.787663	-73.953865
40.817738	-73.941864
40.807354	-73.964371
40.798447	-73.941742
40.794243	-73.944901
40.809898	-73.950668
40.820107	-73.946564
40.843056	-73.938293
40.848263	-73.937805
40.802357	-73.949432
40.805031	-73.952759
40.793991	-73.942856
40.785702	-73.948647
40.805328	-73.939255
40.804993	-73.962349
40.821285	-73.94294
40.807999	-73.945015
40.82317	-73.952751
40.839485	-73.940353
40.821232	-73.943024
40.841476	-73.942024
40.790291	-73.951889
40.789398	-73.943268
40.866207	-73.927917
40.797932	-73.939873
40.804985	-73.939156
40.857777	-73.93219
40.802628	-73.95665
40.846207	-73.935966
40.828285	-73.948997
40.824909	-73.937019
40.841164	-73.942535
40.842068	-73.942101
40.818382	-73.941566
40.826256	-73.950485
40.811878	-73.954918
40.809334	-73.944206
40.815357	-73.957993
40.805054	-73.939186
40.806019	-73.954109
40.810547	-73.951897
40.795029	-73.948547
40.798134	-73.940338
40.82962	-73.948067
40.787323	-73.954056
40.826572	-73.946579
40.801956	-73.957527
40.80402	-73.966469
40.789631	-73.952301
40.805111	-73.938965
40.840294	-73.940453
40.795982	-73.935181
40.806019	-73.953949
40.801899	-73.949501
40.811081	-73.953171
40.80698	-73.937889
40.844688	-73.938957
40.822697	-73.953087
40.820599	-73.936539
40.81279	-73.960243
40.809467	-73.951614
40.794716	-73.939499
40.798672	-73.952042
40.804604	-73.955254
40.810017	-73.950882
40.802139	-73.949638
40.79068	-73.953918
40.841049	-73.939957
40.805534	-73.954597
40.807941	-73.945419
40.80051	-73.958466
40.815464	-73.943771
40.847912	-73.93116
40.80497	-73.96627
40.822128	-73.940437
40.785187	-73.949051
40.833519	-73.945419
40.807755	-73.945358
40.798946	-73.936424
40.820202	-73.940193
40.830166	-73.947937
40.840858	-73.940033
40.815624	-73.958107
40.804771	-73.938271
40.80439	-73.951584
40.806236	-73.941994
40.808105	-73.945107
40.806149	-73.954147
40.83625	-73.943398
40.786976	-73.94191
40.804306	-73.937248
40.81657	-73.939034
40.809174	-73.940308
40.805836	-73.946793
40.795563	-73.932236
40.786758	-73.945366
40.790752	-73.953827
40.824806	-73.946655
40.819206	-73.944695
40.810196	-73.951187
40.814499	-73.940491
40.785702	-73.950737
40.804264	-73.937653
40.834148	-73.940758
40.801613	-73.957436
40.792526	-73.938126
40.860241	-73.930962
40.819088	-73.941055
40.785473	-73.949509
40.821491	-73.950256
40.805763	-73.965439
40.789791	-73.952278
40.82666	-73.950188
40.841171	-73.939537
40.80827	-73.945076
40.815125	-73.93914
40.820972	-73.937317
40.801079	-73.957977
40.80442	-73.937599
40.804741	-73.938133
40.841503	-73.942039
40.81057	-73.954559
40.868851	-73.917847
40.80714	-73.953201
40.798546	-73.939644
40.805222	-73.939262
40.805176	-73.939117
40.786686	-73.952553
