lat	lng
40.798378	-73.940956
40.787849	-73.953682
40.800095	-73.944931
40.80265	-73.956718
40.813812	-73.93689
40.803509	-73.953247
40.819885	-73.936447
40.794197	-73.94265
40.786053	-73.95105
40.828262	-73.944962
40.789822	-73.952057
40.800758	-73.946632
40.793999	-73.939896
40.809288	-73.949181
40.80452	-73.966225
40.797127	-73.937973
40.824566	-73.951675
40.852596	-73.93454
40.792225	-73.9505
40.809402	-73.95166
40.792187	-73.944046
40.798447	-73.941154
40.789764	-73.954414
40.813385	-73.948547
40.801964	-73.949425
40.855404	-73.933289
40.803223	-73.94873
40.799263	-73.933083
40.83482	-73.944183
40.806465	-73.946556
40.805058	-73.940231
40.803154	-73.964409
40.789131	-73.954788
40.796124	-73.935249
40.80534	-73.962021
40.80637	-73.953941
40.854023	-73.933792
40.810722	-73.952812
40.790695	-73.954063
40.824097	-73.944733
40.833797	-73.945198
40.790691	-73.954033
40.808208	-73.9599
40.813293	-73.94136
40.810925	-73.953087
40.80827	-73.959755
40.792225	-73.950203
40.847557	-73.938103
40.786282	-73.952553
40.817112	-73.938698
40.849113	-73.933968
40.804787	-73.936348
40.847347	-73.93972
40.839821	-73.940819
40.793774	-73.94519
40.78577	-73.950821
40.818947	-73.956085
40.814056	-73.94104
40.797241	-73.937691
40.813869	-73.959663
40.801487	-73.948036
40.867554	-73.9216
40.846088	-73.938309
40.804314	-73.966728
40.812763	-73.941887
40.815876	-73.958618
40.799431	-73.932869
40.845837	-73.938576
40.811508	-73.95414
40.804993	-73.966118
40.792751	-73.945923
40.789501	-73.953087
40.812302	-73.937935
40.801834	-73.957275
40.805107	-73.940018
40.840618	-73.942886
40.811058	-73.957886
40.802139	-73.936989
40.788967	-73.952888
40.805172	-73.94751
40.811729	-73.961235
40.802521	-73.953056
40.790657	-73.953835
40.81897	-73.952415
40.795158	-73.932861
40.839527	-73.940552
40.810219	-73.951157
40.786297	-73.942451
40.787117	-73.953758
40.804062	-73.966957
40.814716	-73.94239
40.868244	-73.919624
40.848602	-73.934296
40.790684	-73.953796
40.810669	-73.952393
40.785027	-73.949043
40.788666	-73.953209
40.806805	-73.966698
40.790909	-73.951454
40.841705	-73.939507
40.813137	-73.95652
40.797958	-73.947899
40.812599	-73.941849
40.799572	-73.95137
40.792362	-73.950241
40.800743	-73.946724
40.795334	-73.943649
40.809441	-73.95932
40.795696	-73.932159
40.797344	-73.948959
40.8116	-73.946503
40.806854	-73.96492
40.813786	-73.940964
40.790657	-73.951294
40.791222	-73.951157
40.812675	-73.941818
40.804356	-73.966454
40.823929	-73.944511
40.830246	-73.936569
40.804123	-73.966927
40.790581	-73.953819
40.790405	-73.95192
40.815243	-73.954964
40.81052	-73.951874
40.815189	-73.958839
40.790813	-73.942429
40.807217	-73.94577
40.798496	-73.941216
40.855053	-73.933365
40.787102	-73.954025
40.791504	-73.953094
40.863701	-73.926186
40.805298	-73.950851
40.808895	-73.948067
40.803768	-73.955727
40.865688	-73.926888
40.804989	-73.939514
40.797539	-73.946892
40.809753	-73.950142
40.80492	-73.966125
40.808876	-73.959686
40.80608	-73.946831
40.785519	-73.95002
40.799942	-73.94062
40.80743	-73.964264
40.803989	-73.966629
40.789841	-73.952339
40.830681	-73.947433
40.839119	-73.940033
40.827396	-73.949707
40.801197	-73.957771
40.803764	-73.966179
40.799492	-73.945137
40.790382	-73.951843
40.806267	-73.954041
40.807812	-73.945381
40.826916	-73.946037
40.811169	-73.953232
40.839733	-73.940819
40.841679	-73.942329
40.798836	-73.941307
40.806267	-73.941856
40.822273	-73.953499
40.801262	-73.948135
40.79063	-73.953835
40.789745	-73.952293
40.78788	-73.944382
40.841267	-73.942322
40.788002	-73.952515
40.793301	-73.940842
40.803375	-73.942375
40.79055	-73.951881
40.805683	-73.961708
40.835632	-73.945976
40.796993	-73.938057
40.816086	-73.94558
40.78986	-73.952454
40.824379	-73.948395
40.822186	-73.942421
40.803265	-73.952492
40.786381	-73.948479
40.812057	-73.949944
40.804169	-73.966354
40.788727	-73.955246
40.806499	-73.946281
40.790123	-73.954193
40.791176	-73.9515
40.806332	-73.953812
40.815601	-73.948792
40.853889	-73.930466
40.805882	-73.938995
40.796902	-73.94281
40.792812	-73.94072
40.804905	-73.939423
40.841499	-73.942352
40.826794	-73.950233
40.802151	-73.945297
40.790119	-73.952194
40.802574	-73.944763
40.80526	-73.962029
40.797134	-73.93792
40.82415	-73.940941
40.787796	-73.955467
40.784149	-73.944168
40.804993	-73.939034
40.819061	-73.941109
40.805347	-73.961983
40.804127	-73.937675
40.841801	-73.939178
40.783638	-73.944527
40.805279	-73.938217
40.802677	-73.944702
40.850159	-73.935913
40.813786	-73.939934
40.822083	-73.953522
40.848457	-73.938049
40.804474	-73.938644
40.789543	-73.943047
40.810654	-73.952408
40.793034	-73.947601
40.80479	-73.938393
40.80307	-73.938324
40.808525	-73.948898
40.807278	-73.964371
40.786507	-73.942238
40.792789	-73.943779
40.787689	-73.94474
40.805679	-73.96183
40.792496	-73.952362
40.790043	-73.953339
40.818779	-73.9524
40.804207	-73.936798
40.804817	-73.939476
40.808346	-73.952576
40.802952	-73.95829
40.856712	-73.928276
40.819912	-73.955025
40.816002	-73.948456
40.801872	-73.949112
40.803837	-73.93782
40.789169	-73.954819
40.805771	-73.954285
40.789185	-73.946411
40.800121	-73.93853
40.839649	-73.940834
40.802223	-73.949394
40.795776	-73.93248
40.811523	-73.952148
40.805168	-73.939507
40.806915	-73.964577
40.840874	-73.94249
40.824646	-73.951843
40.789276	-73.952499
40.814899	-73.947723
40.830692	-73.941307
40.804096	-73.948257
40.814793	-73.957565
40.825138	-73.951584
40.813873	-73.936874
40.868816	-73.917877
40.830341	-73.947746
40.805279	-73.939369
40.799492	-73.936043
40.822975	-73.94252
40.807892	-73.960045
40.786037	-73.95118
40.810837	-73.962547
40.810017	-73.962166
40.805088	-73.938988
40.790512	-73.95414
40.815182	-73.95874
40.829029	-73.944916
40.79129	-73.952095
40.791325	-73.951073
40.802197	-73.949867
40.808254	-73.946701
40.824001	-73.948494
40.822697	-73.949432
40.790596	-73.953957
40.854012	-73.933876
40.804043	-73.937714
40.786926	-73.947823
40.801514	-73.960701
40.80162	-73.943436
40.804543	-73.966385
40.823112	-73.941795
40.788403	-73.953148
40.78598	-73.94883
40.813126	-73.956467
40.841534	-73.942589
40.840908	-73.942505
40.823269	-73.952591
40.812473	-73.956993
40.797817	-73.95137
40.786282	-73.945915
40.80508	-73.939201
40.794556	-73.948685
40.794907	-73.942184
40.795807	-73.932549
40.821827	-73.938988
40.791069	-73.95108
40.808189	-73.946449
40.839046	-73.939865
40.803249	-73.956047
40.810165	-73.958366
40.804211	-73.937386
40.79163	-73.938499
40.805614	-73.939133
40.801235	-73.959496
40.841995	-73.942154
40.791996	-73.952759
40.78907	-73.95488
40.810261	-73.961967
40.805206	-73.939049
40.806881	-73.96492
40.80534	-73.93895
40.813881	-73.955917
40.810074	-73.947495
40.824745	-73.940598
40.801331	-73.934654
40.797386	-73.938705
40.791031	-73.951195
40.796413	-73.938171
40.788639	-73.943863
40.805202	-73.938988
40.790581	-73.953934
40.805038	-73.939346
40.804432	-73.962723
40.795662	-73.932411
40.790298	-73.945526
40.801888	-73.949944
40.841183	-73.942078
40.865238	-73.93119
40.790695	-73.953621
40.8004	-73.945946
40.810123	-73.951172
40.804901	-73.938469
40.803925	-73.938248
40.79134	-73.95118
40.789471	-73.954567
40.799171	-73.941223
40.8162	-73.954193
40.848877	-73.937294
40.835606	-73.940178
40.794319	-73.944855
40.809181	-73.959572
